submission_date,reviewer_id,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,inferencia_tfidf,probabilidade_tfidf
2018-01-19 12:43:20,3c57ab6175a5c114df47f3751199a1a117ab26f2d0a201c43d82a831b8d2f1be,25360394,"Tapete De Sala Peludo 2,00x2,40 Bege Com Marrom, Macio, Felpudo, Luxo,",,"Cama, Mesa e Banho",Tapetes,Excelência do produto.,5,Yes,"Amei o tapete que comprei . Material muito bom, atendimento nota 10 perfeito na decoração. Super recomendo.",1946.0,F,SP,1,0.9999
2018-04-12 16:53:28,54ce709f474d13fe6ca52b891fa0c12ac4273db4028288f40f52296a6ccb5041,28566148,Capa para Galaxy J7 Pro (2017) em Tpu - Husky - Transparente,,Celulares e Smartphones,Acessórios para Celular,Ideal,5,Yes,"Encaixe perfeito e boa aderência, além de nem parecer que está com capa.",1971.0,M,MS,1,0.9966
2018-03-24 09:02:16,d6b5d2ece57b100724ac7afffd77da58b8e8ed63af715fc686c234d9ed50cfda,20498267,Creme Para Massagem Pimenta Negra 1kg,,Beleza e Perfumaria,Cuidados Pessoais,Ainda não recebi o produto!,1,No,"Quero saber se posso cancelar o meu pedido, não recebi meu produto!",1959.0,F,RJ,0,0.0037
2018-05-23 20:03:07,a5640dfc993655e2ebcaf2f06792b10a3b31882abca3f0c608029b67974b7297,118170726,Micro-ondas Midea Liva 20 Litros Branco,midea,Eletrodomésticos,Micro-ondas,Micro-ondas,4,Yes,"Recomendo, a entrega chegou com o prazo antecipado, deu tudo certo!",1961.0,M,RJ,1,0.9947
2018-05-24 16:56:14,0b7a92a6a520c605ee4ce181590ab12323cef2ac8526235a65a05f93496f7ca9,26191457,Secador E Soprador Power Pet - 127v,,Pet Shop,Cães,Valeu a pena,4,Yes,"Meu gatinho (muito peludo e de pelos longos) pegou um fungo, precisa tomar banho de 4 em 4 dias para passar o shampoo medicamento e precisa ficar bem sequinho. O secador ajuda muito com os banhos em casa!! Dá para regular a velocidade do vento, a temperatura e tem três tipos de ponta para direcionar o ar.",1985.0,F,PA,1,0.5878
2018-01-19 06:10:42,5f0489f6a5b2c24aff7fb7aa32ade9a2561d9c92d73f834f529a67f77dcf9f00,11699710,Protetor Solar Cor Clara La Roche-posay - Anthelios Fps 60,,Saúde,,Resistência baixa,2,No,"Estava com muita expectativa nesse produto, mas pra peles bem claras, a cor não bate. Ele sai claro do pote, mas depois oxida um pouco. Também não tem nenhuma resistência ao suor ou à água.",,F,SP,0,0.0589
2018-04-27 08:52:05,35378ee38efeb9da5ee0510dab97daae675effb0918c80fb42f28b4df7d26217,13976592,Sensor De Presença Externo Frontal 180º - Exatron,,Casa e Construção,Segurança,Durou um dia,1,No,"Funcionou somente por um dia, depois o sensor fica com a luz azul acesa direto e não detecta ninguém. Tive que comprar outro de outra marca.",1960.0,M,SP,0,0.0583
2018-05-17 16:22:36,237bcf19c0828bedf4cc9674c518c192f4719ad2563ea4e4d9e9fe271f4cebe0,132474101,"Smartphone LG Q6 Dual Chip Android 7.0 Tela 5.5"" Full Hd+ Octacore 32GB 4G Câmera 13MP - Rose Gold",,Celulares e Smartphones,Smartphone,MUITO BOM,4,Yes,"OTIMO CUSTO E BENEFICIO, ENTREGA RAPIDA E SEGURA, VEIO TUDO CERTINHO IMPECAVEL !",1999.0,M,MT,1,0.9997
2018-05-09 07:53:34,b6e4879d14ee08bc1d1bf43c7d8692b92e18fbeaf0d327fca77b7cc05b37ee15,31110359,Mini Cama - Capa protetora impermeável para colchão mini cama,,"Cama, Mesa e Banho",Acessórios e Capas,Ótimo produto!,5,Yes,"Muito boa a capa, não transfere nada de liquido para o colchão, salvou minha vida!",1987.0,F,SP,1,0.9929
2018-02-26 15:25:35,6c4ac3ffdd82c0265d86dcc4e8d00fa858fcb9840424f688172b133f567a64e8,7389718,Cafeteira Expresso Dolce Gusto Piccolo Vermelha 15 Bar,arno,Eletroportáteis,Cafeteira,Atende o que é prometido,4,Yes,Atende o que é prometido. faz café de capsula. Atende o que é prometido. faz café de capsula.,1990.0,M,SP,1,0.9188
