submission_date,reviewer_id,product_id,product_name,product_brand,site_category_lv1,site_category_lv2,review_title,overall_rating,recommend_to_a_friend,review_text,reviewer_birth_year,reviewer_gender,reviewer_state,inferencia_bertimbau,probabilidade_bertimbau
2018-03-08 12:02:25,ccc4e2f7a1944c3454712bea5f047ee7c56813d666861a7bc6b2e292f89451db,24267925,Aparador 1 Prateleira Tampo Vidro Monet Línea Brasil Castanho/wengue,,Móveis,"Aparador, Buffet e Cristaleira",NÃO RECEBI MEU PRODUTO!!!,1,No,Ainda estou aguardando meu pedido. Chegou um aparador de TV que foi devolvido imediatamente no momento do recebimento.,1986.0,F,SP,0,0.0064
2018-01-25 08:33:26,49dc0e6783ecc527da99c2d5459af5c7bc5dd82df3e142fe6700b228438966f5,28347922,Mini Boneca Surpresa - LOL - Lil Sisters - Série 2 - Candide,,Brinquedos,Bonecas,gostei do produto,5,No,"além de gostar do produto, foi entregue antes do prazo determinado",1952.0,F,SP,1,0.9905
2018-02-25 13:48:58,b49257f2f2082e3d6536eb2946b042e5b4a23f7f01e14991d3f683a2088462da,122381471,Álbum Viagem Folhas Coladas 60 Fotos 10x15cm Vermelho Com Branco - Ical,ical,Papelaria,Álbuns de Fotografia,Ótimo  produto,4,Yes,"Ótimo  album para fotos de viagem, pequeno e prático",1993.0,F,RS,1,0.9978
2018-05-26 08:49:24,ca6b7c22ac2b3517c272d6adfdd59f8a2ed1d982735297145d6b3d8b519c11d6,27782890,Copo para Mixer Multi Multichef Plus Preto 800ml - Fun Kitchen,,Eletroportáteis,Mixer e Processador de Alimentos,Bom,2,No,"O produto em si é bom, no entanto, veio faltando uma parte. Na descrição do produto diz que tem tampa, que a tampa é a base do copo, só que a base do copo é fixa e não tem tampa nenhuma. Entrei em contato com a americanas e apenas me pediram pra verificar se a base saia e que a mesma era a tampa, e respondi que não saia que era fixa, eles não retornaram e não fizeram o menor esforço para me auxiliar!",1988.0,F,RS,0,0.0441
2018-03-12 19:32:45,e4e3e4b304d0171327e5815028387a558e539cc1d09a4a39f289b15a44843774,7344160,Purificador de Água Polar WP1000A WP2000A Eletrônico Prata,polar,Eletroportáteis,Bebedouro e Purificador de Água,Não gostei,1,No,"O produto gela bem a água, porém tem vazamentos dentro dele.",1992.0,M,SP,0,0.01
2018-03-25 15:34:07,fac06dfd4aa75eac026a4851fcf9b2cdd84de6ebb157a7fd4c6a03ec9371a6e1,373584,Jogo Perfil Júnior 1 - Grow,grow,Brinquedos,Jogos,Interativo e Educativo,5,Yes,"Meu filho adorou e eu também, é um jogo pra toda a família",1978.0,F,SP,1,0.9969
2018-01-02 04:26:26,b5bd8fd1bf56b08eee9468adea8e7492d6befac0fe249604535c77d8c99fd89d,129543938,"Smartphone Samsung Galaxy J7 Prime Dual Chip Android Tela 5.5"" 32GB 4G Câmera 13MP - Dourado",samsung,Celulares e Smartphones,Smartphone,Excelente,5,Yes,Já tinha o mesmo produto e comprei mais um para dar de presente. O custo beneficio vale.,1988.0,F,DF,1,0.9949
2018-02-22 09:18:17,7285c69824bfc3b2a81d8e23e146b8ad4e48b86aeb237d5af3fe280e1cf8784f,131657539,"Smartphone Samsung Galaxy J2 Prime TV Dual Chip Android 6.0 Tela 5"" Quad-Core 1.4 GHz 16GB 4G Câmera 8MP - Preto",samsung,Celulares e Smartphones,Smartphone,Celular j2 prime,5,Yes,"Um celular muito bom para se usar,  gostei muito....................",1983.0,M,MA,1,0.9975
2018-03-15 21:27:16,2d95bfe388d310d9acdecbe291c1ce7f32b5fa65e873337eb7c2077ce83ac574,20719016,Colete Power,,Esporte e Lazer,Natação / Hidroginástica,RECEBI OS COLETES e AMEI!!!! SLADE FITNESS e as Americanas PARABÉNS!,5,Yes,"SUPER RECOMENDO!!!!  Recebi o produto em excelente condições!  Quero agradecer ao esclarecimento da empresa, que foi super atenciosa. Houve um problema nos correios da cidade onde moro, por isso que chegou um pouquinho depois. Os Coletes são exatamente como mostra o site! Vou usá-los muitoo s2. AMO o atendimento e a atenção que As AMERICANAS e que vocês da LOJA me deram. SUCESSO!!!!",1984.0,F,CE,1,0.9975
2018-01-09 09:23:12,bfe5faf860674a45bff14b4cb8dd84f600721a7dfe726a2215418b42f5657e4e,25552854,Telha Portuguesa Policarbonato Transparente - Plastelha,,Casa e Construção,Materiais de Construção,recomendo,5,Yes,"produto chegou antes do prazo e sem avarias, temos aguardar para verirficar a durabilidade",1979.0,M,MG,1,0.9778
